Frequency (Hz)	Level (dB)
4171.875000	-63.786602
4187.500000	-64.467270
4203.125000	-58.079990
4218.750000	-57.398243
4234.375000	-63.546249
4250.000000	-66.071236
4265.625000	-65.274429
4281.250000	-63.596584
4296.875000	-63.746853
4312.500000	-62.961761
4328.125000	-67.052353
4343.750000	-67.957954
4359.375000	-65.349701
4375.000000	-68.418633
4390.625000	-77.871941
4406.250000	-89.282715
4421.875000	-99.089897
4437.500000	-78.036247
4453.125000	-71.371475
4468.750000	-71.487228
4484.375000	-78.369843
4500.000000	-93.964729
4515.625000	-105.711945
4531.250000	-112.896873
4546.875000	-111.662666
4562.500000	-115.328056
4578.125000	-126.891960
4593.750000	-119.761978
4609.375000	-119.969002
4625.000000	-147.426895
4640.625000	-123.632156
4656.250000	-125.474091
4671.875000	-120.197762
4687.500000	-122.941628
4703.125000	-138.021652
4718.750000	-125.686050
4734.375000	-129.561829
4750.000000	-131.618225
4765.625000	-133.107513
4781.250000	-130.002945
4796.875000	-119.016975
4812.500000	-120.290031
4828.125000	-127.102409
4843.750000	-124.857132
4859.375000	-121.766327
4875.000000	-122.526413
4890.625000	-122.091232
4906.250000	-129.948456
4921.875000	-126.496658
4937.500000	-132.122421
4953.125000	-120.888420
4968.750000	-122.827332
4984.375000	-125.684242
5000.000000	-114.443169
5015.625000	-112.385773
5031.250000	-103.239845
5046.875000	-91.192970
5062.500000	-75.079956
5078.125000	-68.067688
5093.750000	-66.559807
5109.375000	-73.513741
5125.000000	-60.507263
5140.625000	-60.020844
5156.250000	-63.507904
5171.875000	-73.096657
5187.500000	-70.927841
5203.125000	-70.896797
5218.750000	-70.259689
5234.375000	-72.454651
5250.000000	-84.920280
5265.625000	-84.094330
5281.250000	-69.742287
5296.875000	-64.385544
5312.500000	-64.307068
5328.125000	-66.461197
5343.750000	-66.198448
5359.375000	-67.962791
5375.000000	-68.126724
5390.625000	-60.381744
5406.250000	-60.942215
5421.875000	-61.257023
5437.500000	-59.594395
5453.125000	-61.446262
5468.750000	-53.172718
5484.375000	-53.351105
5500.000000	-56.338112
5515.625000	-56.769196
5531.250000	-62.335041
5546.875000	-61.402634
5562.500000	-67.437523
5578.125000	-58.149296
5593.750000	-62.327633
5609.375000	-71.613731
5625.000000	-58.911766
5640.625000	-55.180126
5656.250000	-53.077477
5671.875000	-55.973465
5687.500000	-74.778595
5703.125000	-61.500298
5718.750000	-59.530869
5734.375000	-56.316776
5750.000000	-64.813889
5765.625000	-64.088974
5781.250000	-83.359329
5796.875000	-62.803192
5812.500000	-60.628448
5828.125000	-63.768181
5843.750000	-71.864052
5859.375000	-89.120850
5875.000000	-98.381149
5890.625000	-109.017166
5906.250000	-111.141663
5921.875000	-113.151009
5937.500000	-110.602386
5953.125000	-117.849380
5968.750000	-120.255432
5984.375000	-129.280670
6000.000000	-127.716080
6015.625000	-124.985123
6031.250000	-133.047287
6046.875000	-125.810112
6062.500000	-125.948753
6078.125000	-127.031067
6093.750000	-119.783997
6109.375000	-121.986168
6125.000000	-112.329750
6140.625000	-113.223808
6156.250000	-106.358322
6171.875000	-100.368332
6187.500000	-99.705551
6203.125000	-102.415054
6218.750000	-93.666992
6234.375000	-98.024948
6250.000000	-75.841217
6265.625000	-69.149147
